,Week Number,Date,region,Influenza Positive Cases
21770,201806,2018-02-04,Lower Southern,105
21780,201806,2018-02-04,Northern,10
21790,201806,2018-02-04,Upper Southern,176
21800,201807,2018-02-11,Bay Area,48
21810,201807,2018-02-11,California,279
21820,201807,2018-02-11,Central,11
21830,201807,2018-02-11,Lower Southern,66
21840,201807,2018-02-11,Northern,11
21850,201807,2018-02-11,Upper Southern,143
21860,201808,2018-02-18,Bay Area,59
21870,201808,2018-02-18,California,173
21880,201808,2018-02-18,Central,11
21890,201808,2018-02-18,Lower Southern,42
21900,201808,2018-02-18,Northern,5
21910,201808,2018-02-18,Upper Southern,56
21920,201809,2018-02-25,Bay Area,45
21930,201809,2018-02-25,California,197
21940,201809,2018-02-25,Central,10
21950,201809,2018-02-25,Lower Southern,58
21960,201809,2018-02-25,Northern,9
21970,201809,2018-02-25,Upper Southern,75
21980,201810,2018-03-04,Bay Area,38
21990,201810,2018-03-04,California,257
22000,201810,2018-03-04,Central,12
22010,201810,2018-03-04,Lower Southern,81
22020,201810,2018-03-04,Northern,16
22030,201810,2018-03-04,Upper Southern,110
22040,201811,2018-03-11,Bay Area,41
22050,201811,2018-03-11,California,189
22060,201811,2018-03-11,Central,7
22070,201811,2018-03-11,Lower Southern,37
22080,201811,2018-03-11,Northern,8
22090,201811,2018-03-11,Upper Southern,96
22100,201812,2018-03-18,Bay Area,25
22110,201812,2018-03-18,California,91
22120,201812,2018-03-18,Central,11
22130,201812,2018-03-18,Lower Southern,18
22140,201812,2018-03-18,Northern,14
22150,201812,2018-03-18,Upper Southern,23
22160,201813,2018-03-25,Bay Area,19
22170,201813,2018-03-25,California,72
22180,201813,2018-03-25,Central,3
22190,201813,2018-03-25,Lower Southern,12
22200,201813,2018-03-25,Northern,2
22210,201813,2018-03-25,Upper Southern,36
22220,201814,2018-04-01,Bay Area,20
22230,201814,2018-04-01,California,83
22240,201814,2018-04-01,Central,3
22250,201814,2018-04-01,Lower Southern,38
22260,201814,2018-04-01,Northern,4
22270,201814,2018-04-01,Upper Southern,18
22280,201815,2018-04-08,Bay Area,6
22290,201815,2018-04-08,California,48
22300,201815,2018-04-08,Central,0
22310,201815,2018-04-08,Lower Southern,36
22320,201815,2018-04-08,Northern,2
22330,201815,2018-04-08,Upper Southern,4
22340,201816,2018-04-15,Bay Area,4
22350,201816,2018-04-15,California,41
22360,201816,2018-04-15,Central,3
22370,201816,2018-04-15,Lower Southern,34
22380,201816,2018-04-15,Northern,0
22390,201816,2018-04-15,Upper Southern,0
22400,201817,2018-04-22,Bay Area,8
22410,201817,2018-04-22,California,23
22420,201817,2018-04-22,Central,0
22430,201817,2018-04-22,Lower Southern,5
22440,201817,2018-04-22,Northern,3
22450,201817,2018-04-22,Upper Southern,7
22460,201818,2018-04-29,Bay Area,6
22470,201818,2018-04-29,California,15
22480,201818,2018-04-29,Central,4
22490,201818,2018-04-29,Lower Southern,2
22500,201818,2018-04-29,Northern,0
22510,201818,2018-04-29,Upper Southern,3
22520,201819,2018-05-06,Bay Area,0
22530,201819,2018-05-06,California,5
22540,201819,2018-05-06,Central,0
22550,201819,2018-05-06,Lower Southern,3
22560,201819,2018-05-06,Northern,0
22570,201819,2018-05-06,Upper Southern,2
22580,201820,2018-05-13,Bay Area,0
22590,201820,2018-05-13,California,0
22600,201820,2018-05-13,Central,0
22610,201820,2018-05-13,Lower Southern,0
22620,201820,2018-05-13,Northern,0
22630,201820,2018-05-13,Upper Southern,0
22640,201821,2018-05-20,Bay Area,0
22650,201821,2018-05-20,California,0
22660,201821,2018-05-20,Central,0
22670,201821,2018-05-20,Lower Southern,0
22680,201821,2018-05-20,Northern,0
22690,201821,2018-05-20,Upper Southern,0
22700,201822,2018-05-27,Bay Area,0
22710,201822,2018-05-27,California,1
22720,201822,2018-05-27,Central,1
22730,201822,2018-05-27,Lower Southern,0
22740,201822,2018-05-27,Northern,0
22750,201822,2018-05-27,Upper Southern,0
22760,201823,2018-06-03,Bay Area,0
22770,201823,2018-06-03,California,2
22780,201823,2018-06-03,Central,0
22790,201823,2018-06-03,Lower Southern,0
22800,201823,2018-06-03,Northern,0
22810,201823,2018-06-03,Upper Southern,2
22820,201824,2018-06-10,Bay Area,1
22830,201824,2018-06-10,California,3
22840,201824,2018-06-10,Central,0
22850,201824,2018-06-10,Lower Southern,2
22860,201824,2018-06-10,Northern,0
22870,201824,2018-06-10,Upper Southern,0
22880,201825,2018-06-17,Bay Area,0
22890,201825,2018-06-17,California,0
22900,201825,2018-06-17,Central,0
22910,201825,2018-06-17,Lower Southern,0
22920,201825,2018-06-17,Northern,0
22930,201825,2018-06-17,Upper Southern,0
22940,201826,2018-06-24,Bay Area,0
22950,201826,2018-06-24,California,0
22960,201826,2018-06-24,Central,0
22970,201826,2018-06-24,Lower Southern,0
22980,201826,2018-06-24,Northern,0
22990,201826,2018-06-24,Upper Southern,0
23000,201827,2018-07-01,Bay Area,2
23010,201827,2018-07-01,California,3
23020,201827,2018-07-01,Central,0
23030,201827,2018-07-01,Lower Southern,0
23040,201827,2018-07-01,Northern,1
23050,201827,2018-07-01,Upper Southern,0
23060,201828,2018-07-08,Bay Area,2
23070,201828,2018-07-08,California,3
23080,201828,2018-07-08,Central,0
23090,201828,2018-07-08,Lower Southern,0
23100,201828,2018-07-08,Northern,1
23110,201828,2018-07-08,Upper Southern,0
23120,201829,2018-07-15,Bay Area,0
23130,201829,2018-07-15,California,2
23140,201829,2018-07-15,Central,0
23150,201829,2018-07-15,Lower Southern,1
23160,201829,2018-07-15,Northern,0
23170,201829,2018-07-15,Upper Southern,1
23180,201830,2018-07-22,Bay Area,0
23190,201830,2018-07-22,California,1
23200,201830,2018-07-22,Central,0
23210,201830,2018-07-22,Lower Southern,0
23220,201830,2018-07-22,Northern,0
23230,201830,2018-07-22,Upper Southern,1
23240,201831,2018-07-29,Bay Area,0
23250,201831,2018-07-29,California,10
23260,201831,2018-07-29,Central,0
23270,201831,2018-07-29,Lower Southern,0
23280,201831,2018-07-29,Northern,0
23290,201831,2018-07-29,Upper Southern,10
23300,201832,2018-08-05,Bay Area,0
23310,201832,2018-08-05,California,3
23320,201832,2018-08-05,Central,0
23330,201832,2018-08-05,Lower Southern,0
23340,201832,2018-08-05,Northern,0
23350,201832,2018-08-05,Upper Southern,3
23360,201833,2018-08-12,Bay Area,0
23370,201833,2018-08-12,California,1
23380,201833,2018-08-12,Central,0
23390,201833,2018-08-12,Lower Southern,0
23400,201833,2018-08-12,Northern,0
23410,201833,2018-08-12,Upper Southern,1
23420,201834,2018-08-19,Bay Area,0
23430,201834,2018-08-19,California,0
23440,201834,2018-08-19,Central,0
23450,201834,2018-08-19,Lower Southern,0
23460,201834,2018-08-19,Northern,0
23470,201834,2018-08-19,Upper Southern,0
23480,201835,2018-08-26,Bay Area,1
23490,201835,2018-08-26,California,1
23500,201835,2018-08-26,Central,0
23510,201835,2018-08-26,Lower Southern,0
23520,201835,2018-08-26,Northern,0
23530,201835,2018-08-26,Upper Southern,0
23540,201836,2018-09-02,Bay Area,4
23550,201836,2018-09-02,California,5
23560,201836,2018-09-02,Central,0
23570,201836,2018-09-02,Lower Southern,1
23580,201836,2018-09-02,Northern,0
23590,201836,2018-09-02,Upper Southern,0
23600,201837,2018-09-09,Bay Area,2
23610,201837,2018-09-09,California,4
23620,201837,2018-09-09,Central,0
23630,201837,2018-09-09,Lower Southern,1
23640,201837,2018-09-09,Northern,0
23650,201837,2018-09-09,Upper Southern,1
23660,201838,2018-09-16,Bay Area,2
23670,201838,2018-09-16,California,4
23680,201838,2018-09-16,Central,0
23690,201838,2018-09-16,Lower Southern,2
23700,201838,2018-09-16,Northern,0
23710,201838,2018-09-16,Upper Southern,0
23720,201839,2018-09-23,Bay Area,0
23730,201839,2018-09-23,California,0
23740,201839,2018-09-23,Central,0
23750,201839,2018-09-23,Lower Southern,0
23760,201839,2018-09-23,Northern,0
23770,201839,2018-09-23,Upper Southern,0
23780,201840,2018-09-30,Bay Area,0
23790,201840,2018-09-30,California,1
23800,201840,2018-09-30,Central,0
23810,201840,2018-09-30,Lower Southern,0
23820,201840,2018-09-30,Northern,0
23830,201840,2018-09-30,Upper Southern,1
23840,201841,2018-10-07,Bay Area,0
23850,201841,2018-10-07,California,3
23860,201841,2018-10-07,Central,0
23870,201841,2018-10-07,Lower Southern,3
23880,201841,2018-10-07,Northern,0
23890,201841,2018-10-07,Upper Southern,0
23900,201842,2018-10-14,Bay Area,4
23910,201842,2018-10-14,California,13
23920,201842,2018-10-14,Central,0
23930,201842,2018-10-14,Lower Southern,8
23940,201842,2018-10-14,Northern,0
23950,201842,2018-10-14,Upper Southern,1
23960,201843,2018-10-21,Bay Area,1
23970,201843,2018-10-21,California,11
23980,201843,2018-10-21,Central,1
23990,201843,2018-10-21,Lower Southern,8
24000,201843,2018-10-21,Northern,0
24010,201843,2018-10-21,Upper Southern,1
24020,201844,2018-10-28,Bay Area,2
24030,201844,2018-10-28,California,16
24040,201844,2018-10-28,Central,5
24050,201844,2018-10-28,Lower Southern,7
24060,201844,2018-10-28,Northern,0
24070,201844,2018-10-28,Upper Southern,2
24080,201845,2018-11-04,Bay Area,5
24090,201845,2018-11-04,California,29
24100,201845,2018-11-04,Central,3
24110,201845,2018-11-04,Lower Southern,14
24120,201845,2018-11-04,Northern,0
24130,201845,2018-11-04,Upper Southern,7
24140,201846,2018-11-11,Bay Area,6
24150,201846,2018-11-11,California,27
24160,201846,2018-11-11,Central,5
24170,201846,2018-11-11,Lower Southern,9
24180,201846,2018-11-11,Northern,0
24190,201846,2018-11-11,Upper Southern,7
24200,201847,2018-11-18,Bay Area,5
24210,201847,2018-11-18,California,69
24220,201847,2018-11-18,Central,18
24230,201847,2018-11-18,Lower Southern,41
24240,201847,2018-11-18,Northern,0
24250,201847,2018-11-18,Upper Southern,5
24260,201848,2018-11-25,Bay Area,12
24270,201848,2018-11-25,California,82
24280,201848,2018-11-25,Central,20
24290,201848,2018-11-25,Lower Southern,43
24300,201848,2018-11-25,Northern,4
24310,201848,2018-11-25,Upper Southern,3
24320,201849,2018-12-02,Bay Area,7
24330,201849,2018-12-02,California,71
24340,201849,2018-12-02,Central,17
24350,201849,2018-12-02,Lower Southern,37
24360,201849,2018-12-02,Northern,2
24370,201849,2018-12-02,Upper Southern,8
24380,201850,2018-12-09,Bay Area,18
24390,201850,2018-12-09,California,119
24400,201850,2018-12-09,Central,12
24410,201850,2018-12-09,Lower Southern,66
24420,201850,2018-12-09,Northern,5
24430,201850,2018-12-09,Upper Southern,18
24440,201851,2018-12-16,Bay Area,20
24450,201851,2018-12-16,California,167
24460,201851,2018-12-16,Central,39
24470,201851,2018-12-16,Lower Southern,58
24480,201851,2018-12-16,Northern,12
24490,201851,2018-12-16,Upper Southern,38
24500,201852,2018-12-23,Bay Area,50
24510,201852,2018-12-23,California,201
24520,201852,2018-12-23,Central,18
24530,201852,2018-12-23,Lower Southern,89
24540,201852,2018-12-23,Northern,0
24550,201852,2018-12-23,Upper Southern,44
24560,201901,2018-12-30,Bay Area,78
24570,201901,2018-12-30,California,267
24580,201901,2018-12-30,Central,26
24590,201901,2018-12-30,Lower Southern,102
24600,201901,2018-12-30,Northern,1
24610,201901,2018-12-30,Upper Southern,60
24620,201902,2019-01-06,Bay Area,98
24630,201902,2019-01-06,California,393
24640,201902,2019-01-06,Central,30
24650,201902,2019-01-06,Lower Southern,164
24660,201902,2019-01-06,Northern,0
24670,201902,2019-01-06,Upper Southern,101
24680,201903,2019-01-13,Bay Area,68
24690,201903,2019-01-13,California,238
24700,201903,2019-01-13,Central,34
24710,201903,2019-01-13,Lower Southern,79
24720,201903,2019-01-13,Northern,7
24730,201903,2019-01-13,Upper Southern,50
24740,201904,2019-01-20,Bay Area,92
24750,201904,2019-01-20,California,213
24760,201904,2019-01-20,Central,31
24770,201904,2019-01-20,Lower Southern,47
24780,201904,2019-01-20,Northern,0
24790,201904,2019-01-20,Upper Southern,43
24800,201905,2019-01-27,Bay Area,76
24810,201905,2019-01-27,California,252
24820,201905,2019-01-27,Central,33
24830,201905,2019-01-27,Lower Southern,103
24840,201905,2019-01-27,Northern,2
24850,201905,2019-01-27,Upper Southern,38
24860,201906,2019-02-03,Bay Area,55
24870,201906,2019-02-03,California,224
24880,201906,2019-02-03,Central,27
24890,201906,2019-02-03,Lower Southern,82
24900,201906,2019-02-03,Northern,14
24910,201906,2019-02-03,Upper Southern,46
24920,201907,2019-02-10,Bay Area,64
24930,201907,2019-02-10,California,226
24940,201907,2019-02-10,Central,21
24950,201907,2019-02-10,Lower Southern,92
24960,201907,2019-02-10,Northern,6
24970,201907,2019-02-10,Upper Southern,43
24980,201908,2019-02-17,Bay Area,83
24990,201908,2019-02-17,California,238
25000,201908,2019-02-17,Central,18
25010,201908,2019-02-17,Lower Southern,80
25020,201908,2019-02-17,Northern,10
25030,201908,2019-02-17,Upper Southern,47
25040,201909,2019-02-24,Bay Area,108
25050,201909,2019-02-24,California,319
25060,201909,2019-02-24,Central,26
25070,201909,2019-02-24,Lower Southern,124
25080,201909,2019-02-24,Northern,2
25090,201909,2019-02-24,Upper Southern,59
25100,201910,2019-03-03,Bay Area,62
25110,201910,2019-03-03,California,328
25120,201910,2019-03-03,Central,56
25130,201910,2019-03-03,Lower Southern,145
25140,201910,2019-03-03,Northern,3
25150,201910,2019-03-03,Upper Southern,62
25160,201911,2019-03-10,Bay Area,68
25170,201911,2019-03-10,California,203
25180,201911,2019-03-10,Central,58
25190,201911,2019-03-10,Lower Southern,38
25200,201911,2019-03-10,Northern,1
25210,201911,2019-03-10,Upper Southern,38
25220,201912,2019-03-17,Bay Area,76
25230,201912,2019-03-17,California,218
25240,201912,2019-03-17,Central,44
25250,201912,2019-03-17,Lower Southern,41
25260,201912,2019-03-17,Northern,6
25270,201912,2019-03-17,Upper Southern,51
